CATAID,RA,DEC,NQ,Z_TONRY,DM_70_25_75
23596,182.35479,1.1761,5,0.0804131,37.8169
23619,182.39666,1.13117,5,0.0777999,37.741
23623,182.42033,1.17286,5,0.0790211,37.7768
23669,182.65521,1.06489,5,0.0233267,35.0351
23751,182.95871,1.19868,5,0.079989,37.8048
23868,183.2913,1.19233,5,0.0228882,34.9931
23873,183.35021,1.17351,5,0.0706158,37.5192
24013,184.01864,1.18045,5,0.0512991,36.794
24026,183.92901,1.11376,5,0.076279,37.6958
24102,184.37883,1.23267,5,0.0802203,37.8114
24105,184.40656,1.24028,5,0.0768262,37.7122
24207,184.89867,1.21664,5,0.0228567,34.99
24279,185.20009,1.17384,5,0.0790538,37.7778
24394,185.58801,1.24023,5,0.0921561,38.1313
24400,185.61899,1.05706,5,0.0755372,37.6734
24475,185.82925,1.0656,5,0.0903129,38.0846
24504,186.02036,1.18979,5,0.0252038,35.2068
24507,186.08219,1.09986,5,0.0410539,36.2933
24512,186.03925,1.22676,5,0.0903207,38.0848
24513,186.04935,1.21302,5,0.0277909,35.4237
24531,186.12032,1.09016,5,0.078557,37.7633
24541,186.20628,1.07848,5,0.0786466,37.7659
28621,211.03176,1.09988,5,0.0897986,38.072
28654,211.81609,1.06499,5,0.0355887,35.9745
28727,212.99637,1.10295,5,0.0953217,38.2102
28736,213.14367,1.0544,5,0.0471281,36.6036
28738,213.15057,1.05788,5,0.0472381,36.6089
28758,213.55196,1.07551,5,0.0786084,37.7655
28837,215.4399,1.06484,5,0.0555681,36.9753
28860,216.87356,1.05586,5,0.0265913,35.3266
28870,217.36258,1.04966,5,0.087391,38.0094
30208,173.69524,-1.09675,5,0.062032,37.2239
30209,173.70481,-1.06331,5,0.0476844,36.6292
30255,174.0357,-1.06914,5,0.0757177,37.6787
30327,174.53625,-1.0512,5,0.0790205,37.7767
30346,174.63863,-1.18451,5,0.0224028,34.9455
30347,174.75823,-1.10851,5,0.0806921,37.8248
30363,174.8837,-1.10125,5,0.0805615,37.8211
30392,174.94795,-1.07884,5,0.0777779,37.7403
30395,175.06172,-1.20528,5,0.0541092,36.9143
30396,175.0714,-1.08345,5,0.0801104,37.8082
30438,175.30986,-1.18507,5,0.0792188,37.7825
30466,175.39231,-1.20267,5,0.0789384,37.7743
30467,175.39331,-1.20012,5,0.0786781,37.7667
30468,175.41329,-1.15869,5,0.0791084,37.7793
30470,175.42073,-1.20905,5,0.0791286,37.7798
30471,175.42168,-1.20762,5,0.079539,37.7917
30475,175.46395,-1.21289,5,0.0792586,37.7836
30499,175.58901,-1.21701,5,0.078287,37.7553
30500,175.64528,-1.11058,5,0.0523251,36.8386
30574,176.07471,-1.21479,5,0.094375,38.1863
30577,176.10548,-1.13478,5,0.0795868,37.7931
30579,176.13123,-1.18096,5,0.0802976,37.8135
30615,176.1419,-1.13911,5,0.0799471,37.8035
30617,176.1563,-1.14423,5,0.0795866,37.7931
30618,176.16031,-1.06725,5,0.0701551,37.5042
30619,176.17045,-1.15416,5,0.0787356,37.7684
30621,176.20166,-1.15852,5,0.079096,37.7789
30665,176.40873,-1.19108,5,0.0977779,38.2685
30690,176.43731,-1.18012,5,0.0707951,37.5249
30693,176.51998,-1.08696,5,0.0803963,37.8164
30700,176.56382,-1.09617,5,0.0802659,37.8126
30764,176.63026,-1.1048,5,0.0810167,37.834
30765,176.636,-1.07515,5,0.0810366,37.8346
30786,176.74626,-1.09412,5,0.0489875,36.69
30787,176.80964,-1.15473,5,0.0816769,37.8527
30817,176.90163,-1.23392,5,0.0816468,37.8519
30820,176.99812,-1.11,5,0.0963539,38.2345
30831,176.97434,-1.07257,5,0.079063,37.778
30890,177.25793,-1.10261,5,0.0216392,34.8687
30921,177.40123,-1.13144,5,0.0846384,37.9347
30945,177.53886,-1.17106,5,0.082175,37.8667
30947,177.49141,-1.23335,5,0.0814944,37.8476
30959,177.62568,-1.11428,5,0.0820043,37.8619
31059,178.14224,-1.21982,5,0.078338,37.7568
31076,178.36424,-1.18105,5,0.0813306,37.8429
31079,178.3622,-1.13571,5,0.0820114,37.8621
31130,178.54871,-1.13176,5,0.0133789,33.8089
31161,178.68257,-1.21102,5,0.078506,37.7617
31219,178.89589,-1.10437,5,0.0870551,37.9996
31270,179.14413,-1.07536,5,0.0871641,38.0025
31274,179.22545,-1.07628,5,0.0658382,37.3594
31448,179.72674,-1.23668,5,0.0830569,37.8913
31450,179.8191,-1.10836,5,0.0615804,37.2073
31452,179.86353,-1.15512,5,0.0219503,34.9003
31497,179.88092,-1.1465,5,0.0778698,37.7431
31499,180.0175,-1.10791,5,0.0756363,37.6763
31522,180.10953,-1.10217,5,0.00692353,32.3684
31525,180.04345,-1.10169,5,0.0482434,36.6555
31532,180.04644,-1.11717,5,0.0751156,37.6605
31600,180.46256,-1.19436,5,0.0963892,38.2353
31620,180.48184,-1.0693,5,0.0221412,34.9195
31623,180.61572,-1.13255,5,0.0937451,38.1708
31739,181.29724,-1.17828,5,0.0976162,38.2647
31740,181.31284,-1.21955,5,0.0976663,38.2659
31754,181.3745,-1.08185,5,0.0972951,38.2571
31775,181.66722,-1.12336,5,0.0836475,37.9076
31873,182.09355,-1.24808,5,0.0523182,36.8383
31939,182.50861,-1.22264,5,0.0607459,37.1764
31984,182.83423,-1.06598,5,0.08296,37.8886
32017,182.92524,-1.09234,5,0.0791349,37.7801
32019,182.97008,-1.21952,5,0.0644076,37.3094
32133,183.47399,-1.23144,5,0.0832168,37.8958
32138,183.5262,-1.16402,5,0.0718329,37.5583
32140,183.57066,-1.09165,5,0.0844572,37.9298
32196,183.82603,-1.10985,5,0.0772072,37.7235
32202,183.9019,-1.17398,5,0.0768866,37.714
32236,183.96942,-1.20399,5,0.0808108,37.8283
32270,184.072,-1.16266,5,0.0906916,38.0942
32274,184.15296,-1.08234,5,0.0229511,34.9991
32295,184.07746,-1.06909,5,0.0326833,35.784
32334,184.44057,-1.19924,5,0.0713467,37.5428
32347,184.38804,-1.19311,5,0.0792062,37.7822
32362,184.53566,-1.06412,5,0.0209336,34.7952
32401,184.70617,-1.23693,5,0.0711448,37.5363
32440,184.83098,-1.12275,5,0.072225,37.5707
32446,184.94426,-1.19989,5,0.0862408,37.978
32671,185.62163,-1.14415,5,0.0819711,37.8611
32672,185.64258,-1.16982,5,0.0630489,37.261
32674,185.68663,-1.13705,5,0.0676238,37.4204
32676,185.63534,-1.2099,5,0.0505444,36.7605
32857,186.47772,-1.1334,5,0.0498777,36.7306
36880,211.84189,-1.09639,5,0.0560223,36.9936
36894,211.94478,-1.04997,5,0.0269149,35.3532
36898,212.09072,-1.07534,5,0.0886371,38.0419
36910,212.50271,-1.06284,5,0.0503069,36.7506
36915,212.5076,-1.10775,5,0.0551311,36.9573
37006,214.40021,-1.08655,5,0.0874782,38.0116
37036,215.51946,-1.05438,5,0.0837661,37.9117
37050,215.90251,-1.06026,5,0.031927,35.7327
37064,216.37269,-1.06618,5,0.0560389,36.9944
38904,173.68359,-0.72545,5,0.07754,37.7333
38931,173.85008,-0.80238,5,0.0780404,37.748
38940,173.95698,-0.65586,5,0.0664657,37.381
38963,174.06175,-0.69562,5,0.0512971,36.7938
38966,174.13259,-0.6806,5,0.0812532,37.8407
38980,174.04824,-0.76662,5,0.0280595,35.4449
38993,174.4135,-0.81512,5,0.0455695,36.5272
38994,174.43874,-0.80184,5,0.0470913,36.6011
38995,174.46874,-0.79899,5,0.0467908,36.5867
39057,175.02673,-0.83771,5,0.0213898,34.843
39060,174.97336,-0.82851,5,0.0617578,37.2138
39123,175.33816,-0.81421,5,0.0701169,37.503
39145,175.43609,-0.68803,5,0.0514937,36.8024
39149,175.44767,-0.77465,5,0.0947162,38.1947
39196,175.82459,-0.74107,5,0.0811085,37.8366
39232,175.89499,-0.63159,5,0.0790055,37.7763
39263,176.25605,-0.80842,5,0.0515315,36.8041
39365,176.6795,-0.67837,5,0.0204554,34.7441
39388,176.87324,-0.81649,5,0.080124,37.8086
39389,176.87883,-0.78043,5,0.0981657,38.2777
39411,176.90389,-0.79162,5,0.079483,37.7901
39472,177.09074,-0.67589,5,0.0798826,37.8016
39474,177.10339,-0.81403,5,0.0794324,37.7887
39475,177.10683,-0.64073,5,0.0810539,37.8351
39477,177.11587,-0.66391,5,0.0806434,37.8234
39540,177.37456,-0.79843,5,0.0820545,37.8633
39582,177.51156,-0.82634,5,0.0782695,37.7548
39594,177.62261,-0.77127,5,0.028052,35.4443
39667,177.77913,-0.77102,5,0.0833044,37.8981
39669,177.88065,-0.63936,5,0.0782276,37.7536
39671,177.91319,-0.65446,5,0.0417436,36.3305
39716,177.9729,-0.76476,5,0.096119,38.2288
39756,178.19797,-0.66879,5,0.00641822,32.2031
39893,178.79525,-0.83572,5,0.0652287,37.3382
39921,178.90828,-0.77061,5,0.0658388,37.3594
39968,179.08793,-0.70591,5,0.0703933,37.512
40015,179.30341,-0.74543,5,0.0854004,37.9554
40083,179.65474,-0.78778,5,0.0819247,37.8597
40094,179.71931,-0.75354,5,0.0768482,37.7128
40110,179.74559,-0.73438,5,0.0828252,37.8849
40161,179.98368,-0.68305,5,0.0813723,37.8441
40164,180.01791,-0.75958,5,0.0483328,36.6597
40197,180.03409,-0.66343,5,0.0222077,34.9261
40199,180.13949,-0.73408,5,0.0640008,37.295
40236,180.25809,-0.67662,5,0.0779969,37.7468
40278,180.36631,-0.7184,5,0.0223394,34.9392
40300,180.47451,-0.72685,5,0.0787469,37.7688
40303,180.54699,-0.70705,5,0.0780356,37.748
40304,180.62239,-0.66692,5,0.0998911,38.3182
40336,180.71209,-0.80418,5,0.0997108,38.314
40337,180.75038,-0.83821,5,0.094024,38.1777
40419,181.09158,-0.71935,5,0.0788438,37.7716
40420,181.1096,-0.63194,5,0.0220778,34.9131
40423,181.1676,-0.74724,5,0.0825378,37.8769
40445,181.31332,-0.75029,5,0.0841791,37.9222
40453,181.28999,-0.74763,5,0.0343899,35.8974
40490,181.60282,-0.68344,5,0.0793115,37.7852
40491,181.60462,-0.7179,5,0.0785207,37.7622
40607,182.12174,-0.68801,5,0.0833035,37.8981
40705,182.63121,-0.7266,5,0.0706957,37.5218
40710,182.69905,-0.7323,5,0.0761217,37.691
40740,182.787,-0.71832,5,0.0803361,37.8147
40765,182.89696,-0.69956,5,0.0363335,36.0201
40769,183.00259,-0.76943,5,0.0737073,37.6172
40799,183.019,-0.65382,5,0.0734765,37.61
40802,183.11653,-0.64983,5,0.0966833,38.2424
40830,183.21095,-0.837,5,0.036202,36.012
40834,183.29391,-0.80103,5,0.0798828,37.8017
40870,183.35344,-0.63135,5,0.0791612,37.7809
40871,183.43853,-0.83456,5,0.0520292,36.8258
40912,183.51776,-0.74499,5,0.0801016,37.808
40916,183.54717,-0.83159,5,0.0261368,35.2874
40950,183.70976,-0.7375,5,0.0830939,37.8924
40977,183.90812,-0.82684,5,0.0953673,38.2107
41007,184.03322,-0.73113,5,0.0850641,37.9463
41014,183.99569,-0.64381,5,0.0714983,37.5476
41034,184.0445,-0.80906,5,0.0723293,37.574
41044,184.12537,-0.82066,5,0.0711074,37.5351
41048,184.09714,-0.81705,5,0.0725593,37.5813
41050,184.1315,-0.80818,5,0.0898494,38.0727
41051,184.13274,-0.78054,5,0.0704865,37.515
41055,184.17762,-0.79648,5,0.0731795,37.6008
41059,184.2046,-0.74176,5,0.0720578,37.5654
41075,184.14763,-0.70976,5,0.0226582,34.9707
41098,184.25172,-0.74914,5,0.0696548,37.4879
41104,184.33703,-0.80855,5,0.0725978,37.5825
41135,184.36582,-0.78045,5,0.0711258,37.5357
41137,184.37997,-0.80954,5,0.0716464,37.5523
41144,184.47038,-0.65722,5,0.0308176,35.6533
41172,184.53938,-0.74757,5,0.0851811,37.9495
41232,184.6864,-0.81826,5,0.0358125,35.9879
41274,185.12047,-0.68815,5,0.0739939,37.6261
41276,185.1677,-0.69333,5,0.0733229,37.6053
41277,185.19671,-0.77865,5,0.0882303,38.0307
41279,185.2474,-0.65099,5,0.0794594,37.7895
41281,185.25439,-0.81455,5,0.0633009,37.27
41302,185.39857,-0.7029,5,0.0411639,36.2992
41307,185.37415,-0.71078,5,0.0410338,36.2921
41354,185.62719,-0.68273,5,0.031471,35.7
41420,186.09893,-0.69301,5,0.0265316,35.3207
47068,211.1292,-0.75622,5,0.0550416,36.9536
47090,211.21558,-0.64161,5,0.0254133,35.2259
47098,211.19126,-0.8192,5,0.0847474,37.9384
47126,211.30853,-0.64161,5,0.0751264,37.6615
47129,211.35073,-0.79292,5,0.0501639,36.7441
47130,211.35526,-0.81136,5,0.0501139,36.7419
47152,211.56682,-0.64112,5,0.0835398,37.9053
47155,211.47468,-0.74543,5,0.0602008,37.1566
47243,211.90712,-0.80674,5,0.0540489,36.9125
